step,train,valid,trainavg,validavg
47,39.8000001907,30.8333337307,39.4799983501,30.4166674614
48,40.3999984264,31.25,39.8399984837,29.8333334923
49,41.3999974728,28.3333361149,40.9199988842,29.5000004768
50,38.9999985695,27.0833313465,41.1599993706,29.1666674614
51,43.9999997616,30.0000011921,41.3999998569,28.833334446
52,41.0000026226,29.1666686535,42.5600004196,29.416667223
53,41.6000008583,29.5833349228,43.2400012016,29.8333346844
54,47.2000002861,31.25,43.0400013924,29.1666674614
55,42.4000024796,29.1666686535,42.1200013161,29.0833342075
56,43.0000007153,26.6666650772,41.9600009918,28.6666667461
57,36.4000022411,28.7500023842,40.680000782,28.2500004768
58,40.7999992371,27.4999976158,40.4000008106,28.8333332539
59,40.7999992371,29.1666686535,39.6000003815,29.3333339691
60,41.0000026226,32.0833325386,41.7200005054,30.2499997616
61,38.9999985695,29.1666686535,42.6800000668,30.5833339691
62,47.000002861,33.3333313465,43.6399996281,31.1666667461
63,45.5999970436,29.1666686535,43.3599996567,30.8333337307
64,45.5999970436,32.0833325386,44.240000248,31.4999997616
65,39.6000027657,30.4166674614,44.3999993801,30.9166669846
66,43.4000015259,32.4999988079,44.279999733,31.5833330154
67,47.7999985218,30.4166674614,43.4399998188,31.5833330154
68,44.9999988079,32.4999988079,44.9199998379,31.7499995232
69,41.3999974728,32.0833325386,44.7200000286,31.0833334923
70,47.000002861,31.25,44.4400000572,31.0833334923
71,42.4000024796,29.1666686535,44.6000003815,30.5833339691
72,46.3999986649,30.4166674614,45.1600003242,30.5833339691
73,45.8000004292,30.0000011921,44.8799991608,30.3333342075
74,44.1999971867,32.0833325386,45.7999992371,30.3333342075
75,45.5999970436,30.0000011921,45.8399999142,29.9166679382
76,47.000002861,29.1666686535,45.3999996185,29.7500014305
77,46.6000020504,28.3333361149,46.2800002098,29.0000021458
78,43.599998951,29.1666686535,46.6000008583,29.9166691303
79,48.6000001431,28.3333361149,46.6799998283,30.6666684151
80,47.2000002861,34.5833361149,45.9999990463,31.0000014305
81,47.3999977112,32.9166650772,46.2799990177,30.7500004768
82,43.1999981403,30.0000011921,45.2399992943,30.7500004768
83,44.9999988079,27.9166638851,44.3999993801,30.2499997616
84,43.4000015259,28.3333361149,44.3200004101,29.416667223
85,43.0000007153,32.0833325386,44.8400008678,29.5000004768
86,47.000002861,28.7500023842,45.1200008392,30.4166674614
87,45.8000004292,30.4166674614,45.1200008392,30.3333330154
88,46.3999986649,32.4999988079,45.4800009727,30.4166662693
89,43.4000015259,27.9166638851,45.8800005913,30.3333330154
90,44.8000013828,32.4999988079,46.4800000191,30.1666665077
91,49.0000009537,28.3333361149,47.0000004768,29.3333339691
92,48.7999975681,29.5833349228,46.8799996376,29.9166679382
93,49.0000009537,28.3333361149,46.6799998283,29.9166679382
94,42.7999973297,30.8333337307,44.8399996758,30.5000007153
95,43.8000023365,32.4999988079,44.6800005436,30.666667223
96,39.8000001907,31.25,45.1199996471,31.4166665077
97,48.0000019073,30.4166674614,46.3199996948,31.833332777
98,51.1999964714,32.0833325386,47.0799994469,31.4166665077
99,48.7999975681,32.9166650772,49.0799999237,31.6666662693
100,47.6000010967,30.4166674614,49.1600000858,32.8333330154
101,49.8000025749,32.4999988079,47.840000391,32.3333334923
102,48.400002718,36.2500011921,47.0000004768,32.4166667461
103,44.5999979973,29.5833349228,47.5199997425,32.7499997616
104,44.5999979973,33.3333313465,46.9599997997,32.7499997616
105,50.1999974251,32.0833325386,46.7999994755,32.6666665077
106,47.000002861,32.4999988079,48.0799996853,33.6666667461
107,47.6000010967,35.8333349228,48.7999999523,33.4166669846
108,50.9999990463,34.5833361149,48.2000005245,33.3333337307
109,48.1999993324,32.0833325386,47.9600000381,32.9166674614
110,47.2000002861,31.6666662693,48.7199997902,32.2500002384
111,45.8000004292,30.4166674614,48.0799996853,31.4166665077
112,51.3999998569,32.4999988079,48.1599998474,31.25
113,47.7999985218,30.4166674614,48.4799993038,31.7499995232
114,48.6000001431,31.25,48.8799989223,32.416665554
115,48.7999975681,34.1666638851,48.5199987888,32.8333330154
116,47.7999985218,33.7499976158,48.9599990845,33.083332777
117,49.5999991894,34.5833361149,48.9999985695,33.3333325386
118,50,31.6666662693,48.9599990845,33.5000002384
119,48.7999975681,32.4999988079,49.7999989986,33.5000002384
120,48.6000001431,35.0000023842,50,33.75
121,51.9999980927,33.7499976158,50.7999992371,33.3333337307
122,50.6000041962,35.8333349228,50.7999992371,32.5000011921
123,53.9999961853,29.5833349228,51.1599993706,32.1666669846
124,48.7999975681,28.3333361149,51.3199996948,31.916667223
125,50.4000008106,33.3333313465,51.7999982834,31.25
126,52.7999997139,32.4999988079,51.5199995041,32.0833325386
127,52.999997139,32.4999988079,51.9599997997,33.1666648388
128,52.6000022888,33.7499976158,51.0399997234,33.2499980927
129,50.9999990463,33.7499976158,50.4400002956,33.1666648388
130,45.8000004292,33.7499976158,50.4000008106,32.9999983311
131,49.8000025749,32.0833325386,49.5200002193,32.3333323002
132,52.7999997139,31.6666662693,48.9600002766,31.6666662693
133,48.1999993324,30.4166674614,49.4800007343,31.25
134,48.1999993324,30.4166674614,48.8800001144,30.9166669846
135,48.400002718,31.6666662693,48.7600004673,31.3333332539
136,46.7999994755,30.4166674614,49.4000005722,31.0833334923
137,52.2000014782,33.7499976158,50.1200008392,31.3333332539
138,51.3999998569,29.1666686535,50.4799997807,31.0833334923
139,51.8000006676,31.6666662693,51.5600001812,31.3333332539
140,50.1999974251,30.4166674614,52.120000124,31.1666667461
141,52.2000014782,31.6666662693,50.6000006199,31.7499995232
142,55.0000011921,32.9166650772,50.0800001621,31.0833334923
143,43.8000023365,32.0833325386,50.0400006771,30.7500004768
144,49.1999983788,28.3333361149,50.5599999428,30.3333342075
145,50,28.7500023842,49.5599997044,29.9166679382
146,54.7999978065,29.5833349228,50.3199994564,30.1666676998
147,50,30.8333337307,51.1600005627,31.25
148,47.6000010967,33.3333313465,52.2800004482,31.9999992847
149,53.4000039101,33.7499976158,51.1600005627,32.416665554
150,55.5999994278,32.4999988079,51.7599999905,32.5833320618
151,49.1999983788,31.6666662693,53.0399990082,32.416665554
152,52.999997139,31.6666662693,53.3999979496,32.0833325386
153,53.9999961853,32.4999988079,53.3199977875,32.0833325386
154,55.1999986172,32.0833325386,54.7599983215,32.0833325386
155,55.1999986172,32.4999988079,54.0399992466,32.1666657925
156,56.400001049,31.6666662693,54.1200006008,31.9166660309
157,49.4000017643,32.0833325386,53.9600014687,31.5833330154
158,54.4000029564,31.25,54.0800011158,32.0000004768
159,54.4000029564,30.4166674614,53.8000011444,32.2500002384
160,55.7999968529,34.5833361149,54.8000013828,32.9166674614
161,55.0000011921,32.9166650772,54.8400008678,33.166667223
162,54.4000029564,35.4166686535,54.8800003529,33.9166665077
163,54.6000003815,32.4999988079,54.24000144,33.7499988079
164,54.6000003815,34.1666638851,53.9600014687,33.666665554
165,52.6000022888,33.7499976158,54.4800007343,33.2499980927
166,53.6000013351,32.4999988079,53.6000001431,32.6666653156
167,56.9999992847,33.3333313465,52.5199997425,31.9999992847
168,50.1999974251,29.5833349228,52.3599994183,31.9166660309
169,49.1999983788,30.8333337307,52.159999609,31.9999992847
170,51.8000006676,33.3333313465,51.5599989891,31.7499995232
171,52.6000022888,32.9166650772,51.6799998283,32.9166662693
172,53.9999961853,32.0833325386,52.879999876,33.8333332539
173,50.8000016212,35.4166686535,53.2799994946,33.9999997616
174,55.1999986172,35.4166686535,53.7599992752,34.0833330154
175,53.7999987602,34.1666638851,54.3599998951,34.333332777
176,55.0000011921,33.3333313465,55.1599991322,34.2499995232
177,56.9999992847,33.3333313465,54.7599995136,33.9999985695
178,54.7999978065,35.0000023842,54.5200002193,33.4166657925
179,53.2000005245,34.1666638851,54.8399996758,32.9999995232
180,52.6000022888,31.25,53.6000001431,32.6666665077
181,56.5999984741,31.25,53.6000001431,31.9999992847
182,50.8000016212,31.6666662693,54.3599998951,31.0833334923
183,54.7999978065,31.6666662693,55.039999485,31.5833330154
184,56.9999992847,29.5833349228,53.7599992752,30.8333325386
185,56.0000002384,33.7499976158,53.7199997902,30.9166657925
186,50.1999974251,27.4999976158,53.4400010109,30.2499997616
187,50.6000041962,32.0833325386,52.8800010681,30.0833332539
188,53.4000039101,28.3333361149,53.2000005245,30
189,54.1999995708,28.7500023842,53.2400012016,30.1666676998
190,57.5999975204,33.3333313465,53.0400002003,29.9166679382
191,50.4000008106,28.3333361149,51.9599997997,31.4166676998
192,49.5999991894,30.8333337307,52.2399997711,31.5833342075
193,48.0000019073,35.8333349228,52.3200011253,30.7500016689
194,55.5999994278,29.5833349228,53.4400010109,31.1666679382
195,58.0000042915,29.1666686535,54.6400010586,31.333334446
196,56.0000002384,30.4166674614,56.5600001812,30.5000007153
197,55.5999994278,31.6666662693,56.0000002384,30.666667223
198,57.5999975204,31.6666662693,55.5199992657,31.6666662693
199,52.7999997139,30.4166674614,55.4399991035,31.9166660309
200,55.5999994278,34.1666638851,55.5599999428,31.9166660309
201,55.5999994278,31.6666662693,55.640001297,31.7499995232
202,56.200003624,31.6666662693,55.4000020027,31.5833330154
203,58.0000042915,30.8333337307,55.600001812,30.4166674614
204,51.6000032425,29.5833349228,55.600001812,30.4166674614
205,56.5999984741,28.3333361149,55.3200006485,30.3333342075
206,55.5999994278,31.6666662693,54.8399996758,29.5000004768
207,54.7999978065,31.25,55.6799983978,28.9999997616
208,55.5999994278,26.6666650772,55.9199988842,29.6666657925
209,55.7999968529,27.0833313465,56.3599991798,29.5833325386
210,57.800000906,31.6666662693,56.439999342,28.4166657925
211,57.800000906,31.25,55.5999994278,29.8333323002
212,55.1999986172,25.4166662693,55.759999752,30.1666665077
213,51.3999998569,33.7499976158,55.8000004292,29.7500002384
214,56.5999984741,28.7500023842,55.0800001621,28.0833339691
215,58.0000042915,29.5833349228,55.8000004292,28.833334446
216,54.1999995708,22.9166686535,57.3600006104,28.0000019073
217,58.7999999523,29.1666686535,56.4400005341,28.3333349228
218,59.2000007629,29.5833349228,55.7999992371,28.4166681767
219,51.9999980927,30.4166674614,55.8799993992,29.8333346844
220,54.7999978065,30.0000011921,54.5199990273,30.5833339691
221,54.6000003815,30.0000011921,53.6799991131,30.666667223
222,51.9999980927,32.9166650772,53.7599992752,30.2500009537
223,55.0000011921,30.0000011921,54.4000005722,30.4166674614
224,52.3999989033,28.3333361149,55.4800009727,30.1666676998
225,58.0000042915,30.8333337307,56.5600013733,29.1666674614
226,60.0000023842,28.7500023842,56.6000008583,29.0833342075
227,57.4000000954,27.9166638851,57.760001421,29.3333339691
228,55.1999986172,29.5833349228,58.0400002003,28.9166676998
229,58.2000017166,29.5833349228,57.7599990368,29.3333339691
