Epoch,Training accuracy,Validation accuracy
1,30.449998378753662,28.47222089767456
2,32.099997997283936,30.64236044883728
3,30.400002002716064,30.38194179534912
4,33.09999704360962,33.42013955116272
5,34.54999923706055,34.28819179534912
6,32.64999985694885,32.03125
7,34.3500018119812,32.46527910232544
8,35.750001668930054,34.28819179534912
9,36.250001192092896,33.85416865348816
10,34.79999899864197,34.02777910232544
11,33.149999380111694,31.51041865348816
12,36.549997329711914,34.02777910232544
13,37.34999895095825,34.375
14,33.70000123977661,36.37152910232544
15,36.04999780654907,33.94097089767456
16,33.05000066757202,33.50694179534912
17,32.89999961853027,32.63888955116272
18,36.29999756813049,35.76388955116272
19,34.89999771118164,36.28472089767456
20,34.50000286102295,36.63194179534912
21,35.54999828338623,32.55208134651184
22,35.100001096725464,36.54513955116272
23,33.89999866485596,33.42013955116272
24,35.39999723434448,36.28472089767456
25,35.9499990940094,37.67361044883728
26,34.50000286102295,34.375
27,32.999998331069946,33.68055820465088
28,35.350000858306885,36.45833134651184
29,33.74999761581421,35.85069179534912
30,35.04999876022339,36.28472089767456
31,32.8499972820282,35.15625
32,35.14999747276306,34.72222089767456
33,35.00000238418579,35.24305820465088
34,36.34999990463257,36.80555820465088
35,29.799997806549072,29.94791865348816
36,30.59999942779541,32.72569179534912
37,32.8499972820282,33.68055820465088
38,34.79999899864197,36.19791865348816
39,32.30000138282776,35.15625
40,32.8499972820282,34.80902910232544
41,34.3999981880188,36.28472089767456
42,35.25000214576721,36.89236044883728
43,33.70000123977661,35.85069179534912
44,34.79999899864197,36.11111044883728
45,35.44999957084656,37.06597089767456
46,35.19999980926514,35.76388955116272
47,36.500000953674316,37.06597089767456
48,35.9000027179718,36.71875
49,34.950000047683716,36.02430820465088
50,35.350000858306885,37.5
51,35.14999747276306,36.11111044883728
52,34.14999842643738,34.375
53,35.54999828338623,35.32986044883728
54,34.24999713897705,36.80555820465088
55,37.550002336502075,37.58680820465088
56,33.60000252723694,37.32638955116272
57,36.04999780654907,37.93402910232544
58,29.29999828338623,31.51041865348816
59,34.79999899864197,32.63888955116272
60,36.250001192092896,37.93402910232544
61,34.75000262260437,35.50347089767456
62,33.70000123977661,34.72222089767456
63,36.69999837875366,36.54513955116272
64,35.85000038146973,37.41319179534912
65,36.400002241134644,39.14930820465088
66,37.34999895095825,39.32291865348816
67,38.05000185966492,39.49652910232544
68,37.90000081062317,39.32291865348816
69,32.89999961853027,32.46527910232544
70,34.79999899864197,35.9375
71,37.40000128746033,39.58333134651184
72,35.44999957084656,34.98263955116272
73,36.75000071525574,37.93402910232544
74,32.05000162124634,31.16319179534912
75,32.70000219345093,31.85763955116272
76,30.900001525878906,32.46527910232544
77,33.149999380111694,33.85416865348816
78,34.50000286102295,35.85069179534912
79,33.55000019073486,32.37847089767456
80,30.19999861717224,29.25347089767456
81,32.40000009536743,33.15972089767456
82,32.349997758865356,33.42013955116272
83,31.90000057220459,32.72569179534912
84,32.95000195503235,33.07291865348816
85,36.400002241134644,35.15625
86,34.3999981880188,35.85069179534912
87,35.9499990940094,35.59027910232544
88,35.14999747276306,35.67708134651184
89,36.15000247955322,34.98263955116272
90,36.19999885559082,35.41666865348816
91,35.750001668930054,36.71875
92,36.84999942779541,36.97916865348816
93,36.04999780654907,35.9375
94,34.700000286102295,36.97916865348816
95,35.00000238418579,37.84722089767456
96,37.199997901916504,37.93402910232544
97,33.09999704360962,33.59375
98,32.59999752044678,34.20138955116272
99,34.700000286102295,35.9375
100,36.500000953674316,35.32986044883728
101,37.25000023841858,37.67361044883728
102,36.10000014305115,36.63194179534912
103,35.350000858306885,37.23958134651184
104,34.54999923706055,35.67708134651184
105,35.750001668930054,36.19791865348816
106,36.000001430511475,36.71875
107,35.750001668930054,36.28472089767456
108,35.600000619888306,34.72222089767456
109,33.49999785423279,35.50347089767456
110,33.70000123977661,33.42013955116272
111,35.69999933242798,37.41319179534912
112,36.44999861717224,36.19791865348816
113,38.30000162124634,37.84722089767456
114,37.25000023841858,37.23958134651184
115,35.00000238418579,34.46180820465088
116,36.19999885559082,36.37152910232544
117,36.900001764297485,35.15625
118,36.19999885559082,37.06597089767456
119,34.24999713897705,37.23958134651184
120,34.700000286102295,37.23958134651184
121,36.34999990463257,37.58680820465088
122,37.00000047683716,38.88888955116272
123,37.199997901916504,38.28125
124,35.600000619888306,35.41666865348816
125,33.649998903274536,34.72222089767456
126,33.45000147819519,34.20138955116272
127,37.59999871253967,35.50347089767456
128,33.89999866485596,35.32986044883728
129,34.3999981880188,36.11111044883728
130,35.50000190734863,38.28125
131,34.049999713897705,35.67708134651184
132,34.54999923706055,34.375
133,35.9499990940094,37.06597089767456
134,33.89999866485596,35.06944179534912
135,37.05000281333923,39.32291865348816
136,35.79999804496765,38.02083134651184
137,35.85000038146973,40.97222089767456
138,34.950000047683716,38.71527910232544
139,36.44999861717224,37.15277910232544
140,35.600000619888306,37.58680820465088
141,35.85000038146973,38.54166865348816
142,37.300002574920654,39.67013955116272
143,32.999998331069946,33.50694179534912
144,32.8499972820282,33.24652910232544
145,35.350000858306885,34.98263955116272
146,36.15000247955322,37.41319179534912
147,33.60000252723694,37.41319179534912
148,30.09999990463257,27.51736044883728
149,31.90000057220459,32.55208134651184
150,33.799999952316284,35.41666865348816
151,36.29999756813049,36.97916865348816
152,33.74999761581421,34.89583134651184
153,37.59999871253967,37.41319179534912
154,36.250001192092896,38.02083134651184
155,36.900001764297485,38.19444179534912
156,32.749998569488525,34.72222089767456
157,29.54999804496765,29.42708134651184
158,32.749998569488525,33.50694179534912
159,32.30000138282776,34.80902910232544
160,34.54999923706055,33.94097089767456
161,34.3999981880188,35.06944179534912
162,33.09999704360962,33.15972089767456
163,33.85000228881836,35.06944179534912
164,35.100001096725464,35.41666865348816
165,34.89999771118164,36.45833134651184
166,34.950000047683716,35.41666865348816
167,34.20000076293945,32.11805820465088
168,33.09999704360962,32.89930820465088
169,32.349997758865356,34.375
170,35.19999980926514,34.80902910232544
171,35.14999747276306,35.59027910232544
172,36.19999885559082,36.37152910232544
173,36.799997091293335,35.24305820465088
174,33.799999952316284,36.28472089767456
175,36.250001192092896,36.80555820465088
176,36.000001430511475,35.67708134651184
177,36.15000247955322,37.32638955116272
178,38.499999046325684,38.10763955116272
179,35.9499990940094,39.40972089767456
180,35.44999957084656,38.02083134651184
181,35.750001668930054,35.59027910232544
182,35.79999804496765,38.71527910232544
183,37.5,38.45486044883728
184,36.34999990463257,38.19444179534912
185,35.65000295639038,39.23611044883728
186,35.14999747276306,37.15277910232544
187,38.65000009536743,39.49652910232544
188,34.64999794960022,37.41319179534912
189,36.549997329711914,37.93402910232544
190,35.750001668930054,37.76041865348816
191,37.800002098083496,38.36805820465088
192,37.800002098083496,38.02083134651184
193,37.849998474121094,37.93402910232544
194,34.54999923706055,34.02777910232544
195,34.60000157356262,38.10763955116272
196,34.64999794960022,38.10763955116272
197,39.0999972820282,40.45138955116272
198,36.400002241134644,38.02083134651184
199,36.75000071525574,39.14930820465088
200,37.300002574920654,39.0625
201,37.34999895095825,40.19097089767456
202,37.25000023841858,37.06597089767456
203,38.099998235702515,38.10763955116272
204,35.44999957084656,39.32291865348816
205,34.85000133514404,36.37152910232544
206,34.54999923706055,35.15625
207,36.04999780654907,35.67708134651184
208,36.29999756813049,38.02083134651184
209,37.300002574920654,35.50347089767456
210,36.19999885559082,38.10763955116272
211,36.549997329711914,38.54166865348816
212,37.09999918937683,36.97916865348816
213,36.900001764297485,39.23611044883728
214,37.40000128746033,38.62847089767456
215,35.25000214576721,39.40972089767456
216,38.15000057220459,36.80555820465088
217,37.449997663497925,38.54166865348816
218,36.10000014305115,39.0625
219,38.24999928474426,39.67013955116272
220,41.29999876022339,39.58333134651184
221,32.8499972820282,32.20486044883728
222,33.99999737739563,33.42013955116272
223,34.64999794960022,33.59375
224,33.60000252723694,34.02777910232544
225,35.29999852180481,37.5
226,37.09999918937683,37.58680820465088
227,38.70000243186951,38.71527910232544
228,34.3500018119812,36.54513955116272
229,34.50000286102295,36.63194179534912
230,35.100001096725464,36.54513955116272
231,36.500000953674316,38.45486044883728
232,35.04999876022339,37.93402910232544
233,37.65000104904175,40.53819179534912
234,37.74999976158142,40.71180820465088
235,34.64999794960022,35.41666865348816
236,35.600000619888306,36.37152910232544
237,35.9000027179718,37.84722089767456
238,37.65000104904175,38.19444179534912
239,36.900001764297485,39.40972089767456
240,37.09999918937683,40.27777910232544
241,38.05000185966492,42.1875
242,37.800002098083496,39.75694179534912
243,35.25000214576721,39.75694179534912
244,39.249998331069946,42.1875
245,38.499999046325684,40.88541865348816
246,36.900001764297485,40.10416865348816
247,38.999998569488525,40.79861044883728
248,25.499999523162842,25.78125
249,33.60000252723694,36.37152910232544
250,35.44999957084656,37.5
251,34.299999475479126,36.89236044883728
252,36.10000014305115,37.58680820465088
253,34.700000286102295,36.63194179534912
254,34.54999923706055,36.80555820465088
255,36.000001430511475,37.84722089767456
256,39.0999972820282,38.71527910232544
257,36.900001764297485,38.88888955116272
258,37.40000128746033,40.01736044883728
259,36.29999756813049,38.19444179534912
260,36.650002002716064,38.10763955116272
261,39.20000195503235,41.31944179534912
262,35.50000190734863,37.84722089767456
263,38.999998569488525,38.62847089767456
264,25.050002336502075,25.60763955116272
265,33.649998903274536,34.80902910232544
266,36.04999780654907,36.37152910232544
267,34.64999794960022,37.58680820465088
268,36.000001430511475,37.15277910232544
269,35.750001668930054,38.54166865348816
270,38.099998235702515,39.0625
271,35.100001096725464,37.84722089767456
272,34.85000133514404,36.63194179534912
273,39.649999141693115,38.71527910232544
274,35.100001096725464,38.80208134651184
275,36.75000071525574,38.54166865348816
276,35.600000619888306,38.80208134651184
277,37.699997425079346,38.28125
278,39.20000195503235,38.45486044883728
279,39.34999704360962,40.79861044883728
280,36.10000014305115,40.88541865348816
281,38.999998569488525,40.36458134651184
282,39.99999761581421,40.97222089767456
283,38.599997758865356,40.27777910232544
284,39.399999380111694,41.75347089767456
285,40.10000228881836,42.36111044883728
286,37.90000081062317,41.84027910232544
287,38.999998569488525,41.49305820465088
288,37.09999918937683,40.01736044883728
289,40.89999794960022,40.36458134651184
290,38.89999985694885,39.84375
291,31.49999976158142,32.98611044883728
292,30.299997329711914,32.37847089767456
293,32.55000114440918,35.59027910232544
294,33.85000228881836,33.24652910232544
295,32.70000219345093,36.28472089767456
296,34.3500018119812,35.41666865348816
297,35.14999747276306,35.9375
298,35.00000238418579,35.67708134651184
299,36.59999966621399,38.36805820465088
300,34.85000133514404,36.19791865348816
301,37.150001525878906,37.67361044883728
302,37.300002574920654,40.19097089767456
303,35.19999980926514,38.36805820465088
304,35.29999852180481,36.54513955116272
305,33.45000147819519,36.89236044883728
306,36.549997329711914,38.10763955116272
307,34.700000286102295,39.75694179534912
308,35.85000038146973,38.02083134651184
309,35.50000190734863,38.97569179534912
310,38.40000033378601,38.02083134651184
311,36.250001192092896,39.49652910232544
312,36.19999885559082,37.23958134651184
313,39.14999961853027,39.49652910232544
314,36.000001430511475,38.10763955116272
315,34.64999794960022,38.28125
316,35.79999804496765,38.97569179534912
317,36.400002241134644,37.5
318,36.69999837875366,39.58333134651184
319,38.55000138282776,40.10416865348816
320,37.550002336502075,40.01736044883728
321,37.550002336502075,39.84375
322,37.449997663497925,39.75694179534912
323,37.150001525878906,38.88888955116272
324,38.499999046325684,39.75694179534912
325,40.85000157356262,41.84027910232544
326,37.90000081062317,40.36458134651184
327,40.6499981880188,43.05555820465088
328,39.95000123977661,40.53819179534912
329,41.75000190734863,40.71180820465088
330,40.049999952316284,40.88541865348816
331,41.50000214576721,43.05555820465088
