Epoch,Training accuracy,Validation accuracy
1,25.499999523162842,25.416666269302368
2,26.399999856948853,24.166667461395264
3,25.599998235702515,19.999998807907104
4,28.700000047683716,23.750001192092896
5,30.500000715255737,26.249998807907104
6,31.400001049041748,25.416666269302368
7,30.500000715255737,25.416666269302368
8,31.49999976158142,25.833332538604736
9,31.800001859664917,25.0
10,31.00000023841858,30.000001192092896
11,31.300002336502075,25.0
12,32.999998331069946,27.49999761581421
13,33.30000042915344,29.16666865348816
14,33.49999785423279,29.16666865348816
15,33.30000042915344,28.75000238418579
16,35.50000190734863,31.25
17,34.10000205039978,28.75000238418579
18,32.89999961853027,30.833333730697632
19,36.900001764297485,30.833333730697632
20,36.10000014305115,30.416667461395264
21,36.59999966621399,32.083332538604736
22,36.500000953674316,31.25
23,36.29999756813049,32.083332538604736
24,36.000001430511475,30.833333730697632
25,37.199997901916504,33.33333134651184
26,36.29999756813049,32.499998807907104
27,36.69999837875366,33.33333134651184
28,36.000001430511475,33.74999761581421
29,36.29999756813049,31.25
30,37.5,30.000001192092896
31,37.699997425079346,31.25
32,36.000001430511475,33.33333134651184
33,37.5,30.000001192092896
34,39.99999761581421,32.083332538604736
35,38.499999046325684,30.416667461395264
36,35.29999852180481,30.000001192092896
37,39.30000066757202,27.49999761581421
38,38.499999046325684,29.16666865348816
39,37.40000128746033,33.74999761581421
40,37.40000128746033,30.000001192092896
41,39.20000195503235,33.33333134651184
42,40.10000228881836,32.083332538604736
43,40.39999842643738,31.25
44,37.40000128746033,33.74999761581421
45,39.399999380111694,30.833333730697632
46,39.80000019073486,32.083332538604736
47,36.799997091293335,32.083332538604736
48,38.89999985694885,31.25
49,38.70000243186951,27.916663885116577
50,39.0999972820282,30.833333730697632
51,41.69999957084656,32.91666507720947
52,40.79999923706055,30.833333730697632
53,39.30000066757202,30.833333730697632
54,40.20000100135803,32.083332538604736
55,41.39999747276306,34.58333611488342
56,40.700000524520874,33.33333134651184
57,41.90000295639038,31.25
58,42.40000247955322,32.083332538604736
59,40.39999842643738,31.25
60,38.499999046325684,31.25
61,40.79999923706055,33.33333134651184
62,40.20000100135803,32.499998807907104
63,41.200000047683716,31.25
64,41.200000047683716,30.416667461395264
65,42.799997329711914,30.416667461395264
66,42.10000038146973,31.25
67,42.900002002716064,30.000001192092896
68,41.200000047683716,31.25
69,40.89999794960022,30.000001192092896
70,41.79999828338623,30.000001192092896
71,41.00000262260437,31.25
72,42.1999990940094,31.666666269302368
73,43.699997663497925,32.91666507720947
74,42.40000247955322,34.58333611488342
75,43.800002336502075,29.583334922790527
76,41.90000295639038,29.583334922790527
77,42.900002002716064,29.583334922790527
78,41.69999957084656,31.666666269302368
79,43.30000281333923,31.666666269302368
80,41.79999828338623,29.16666865348816
81,44.90000009536743,31.666666269302368
82,44.099998474121094,30.000001192092896
83,44.700002670288086,31.25
84,44.099998474121094,30.416667461395264
85,44.30000185966492,34.58333611488342
86,40.79999923706055,32.499998807907104
87,43.09999942779541,27.08333134651184
88,42.1999990940094,30.833333730697632
89,44.599997997283936,33.33333134651184
90,44.40000057220459,30.833333730697632
91,44.90000009536743,28.333336114883423
92,42.900002002716064,27.08333134651184
93,44.40000057220459,28.333336114883423
94,43.30000281333923,28.75000238418579
95,44.700002670288086,27.916663885116577
96,44.30000185966492,27.49999761581421
97,44.30000185966492,30.416667461395264
98,45.09999752044678,27.08333134651184
99,44.700002670288086,30.416667461395264
100,47.200000286102295,29.16666865348816
101,45.899999141693115,30.416667461395264
102,45.80000042915344,30.000001192092896
103,47.89999723434448,31.25
104,43.99999976158142,28.75000238418579
105,44.700002670288086,30.000001192092896
106,47.600001096725464,31.666666269302368
107,48.900002241134644,29.583334922790527
108,44.30000185966492,31.25
109,44.599997997283936,28.75000238418579
110,44.49999928474426,29.583334922790527
111,44.90000009536743,29.583334922790527
112,46.299999952316284,30.416667461395264
113,46.70000076293945,28.75000238418579
114,47.29999899864197,29.583334922790527
115,47.79999852180481,28.75000238418579
116,47.50000238418579,33.74999761581421
117,45.09999752044678,27.08333134651184
118,43.800002336502075,31.666666269302368
119,48.29999804496765,29.583334922790527
120,48.4000027179718,30.416667461395264
121,47.10000157356262,27.49999761581421
122,46.70000076293945,32.083332538604736
123,45.99999785423279,29.16666865348816
124,47.89999723434448,30.833333730697632
125,46.299999952316284,31.25
126,47.10000157356262,31.666666269302368
127,48.900002241134644,30.833333730697632
128,48.900002241134644,26.666665077209473
129,47.69999980926514,28.333336114883423
130,43.09999942779541,29.583334922790527
131,45.3000009059906,30.000001192092896
132,45.99999785423279,26.666665077209473
133,48.60000014305115,28.75000238418579
134,49.90000128746033,28.75000238418579
135,49.699997901916504,26.666665077209473
136,49.59999918937683,30.000001192092896
137,49.90000128746033,28.333336114883423
138,48.69999885559082,30.833333730697632
139,49.59999918937683,26.249998807907104
140,50.09999871253967,29.16666865348816
141,49.59999918937683,32.083332538604736
142,49.800002574920654,29.16666865348816
143,49.800002574920654,30.000001192092896
144,50.49999952316284,30.833333730697632
145,52.70000100135803,30.833333730697632
146,50.60000419616699,32.083332538604736
147,49.50000047683716,29.583334922790527
148,44.90000009536743,26.249998807907104
149,43.800002336502075,32.083332538604736
150,43.800002336502075,27.49999761581421
151,44.49999928474426,29.16666865348816
152,45.99999785423279,29.16666865348816
153,44.90000009536743,28.75000238418579
154,49.09999966621399,28.75000238418579
155,49.299997091293335,28.333336114883423
156,49.09999966621399,31.666666269302368
157,50.300002098083496,30.416667461395264
158,48.79999756813049,31.666666269302368
159,49.90000128746033,32.083332538604736
160,52.10000276565552,31.666666269302368
161,51.39999985694885,34.16666388511658
162,50.999999046325684,32.91666507720947
163,48.29999804496765,30.416667461395264
164,49.299997091293335,33.33333134651184
165,48.900002241134644,32.499998807907104
166,50.999999046325684,32.083332538604736
167,51.39999985694885,29.16666865348816
168,54.499995708465576,30.833333730697632
169,51.899999380111694,30.000001192092896
170,54.100000858306885,34.16666388511658
171,53.200000524520874,30.833333730697632
172,54.60000038146973,30.416667461395264
173,53.1000018119812,30.416667461395264
174,53.4000039100647,30.000001192092896
175,53.60000133514404,30.833333730697632
176,54.90000247955322,31.666666269302368
177,52.49999761581421,29.583334922790527
178,52.70000100135803,29.16666865348816
179,52.60000228881836,29.583334922790527
180,50.69999694824219,31.25
181,44.80000138282776,32.91666507720947
182,48.69999885559082,28.75000238418579
183,51.30000114440918,31.666666269302368
184,50.300002098083496,31.666666269302368
185,51.39999985694885,32.499998807907104
186,52.799999713897705,30.833333730697632
187,51.39999985694885,32.91666507720947
188,52.49999761581421,32.499998807907104
189,51.19999647140503,31.666666269302368
190,52.799999713897705,27.916663885116577
191,52.900004386901855,31.25
192,55.900001525878906,33.74999761581421
193,56.2999963760376,30.833333730697632
194,53.1000018119812,31.666666269302368
195,56.599998474121094,32.499998807907104
196,56.700003147125244,31.666666269302368
197,56.2999963760376,33.33333134651184
198,57.40000009536743,32.499998807907104
199,53.999996185302734,29.583334922790527
200,54.6999990940094,33.33333134651184
201,55.50000071525574,36.250001192092896
202,57.099997997283936,34.16666388511658
203,57.89999961853027,32.91666507720947
204,57.200002670288086,30.833333730697632
205,56.00000023841858,32.083332538604736
206,56.79999589920044,34.16666388511658
207,58.000004291534424,31.666666269302368
208,54.40000295639038,33.33333134651184
209,56.2000036239624,31.666666269302368
210,56.2000036239624,31.666666269302368
211,57.499998807907104,33.33333134651184
212,59.299999475479126,33.74999761581421
213,57.89999961853027,31.666666269302368
214,55.299997329711914,30.000001192092896
215,56.40000104904175,31.666666269302368
216,51.600003242492676,30.000001192092896
217,54.40000295639038,29.583334922790527
218,57.40000009536743,35.00000238418579
219,56.99999928474426,33.74999761581421
220,57.30000138282776,32.499998807907104
221,57.30000138282776,33.74999761581421
222,57.499998807907104,32.499998807907104
223,56.2000036239624,32.499998807907104
224,55.59999942779541,33.33333134651184
225,57.70000219345093,32.083332538604736
226,58.59999656677246,34.58333611488342
227,52.30000019073486,34.16666388511658
228,48.29999804496765,29.16666865348816
229,51.69999599456787,28.333336114883423
230,52.20000147819519,28.75000238418579
231,56.79999589920044,32.083332538604736
232,53.700000047683716,32.083332538604736
233,55.400002002716064,29.16666865348816
234,55.19999861717224,34.58333611488342
235,56.09999895095825,27.916663885116577
236,54.29999828338623,32.499998807907104
237,54.29999828338623,26.666665077209473
238,53.29999923706055,30.416667461395264
239,58.20000171661377,28.75000238418579
240,58.399999141693115,32.91666507720947
241,56.700003147125244,31.666666269302368
242,50.80000162124634,30.833333730697632
243,52.30000019073486,32.083332538604736
244,53.79999876022339,31.25
245,56.49999976158142,30.416667461395264
246,56.40000104904175,31.666666269302368
247,57.89999961853027,34.58333611488342
248,58.20000171661377,31.666666269302368
249,53.4000039100647,34.58333611488342
250,58.09999704360962,30.833333730697632
251,59.599995613098145,31.25
252,58.000004291534424,31.666666269302368
253,57.30000138282776,32.499998807907104
254,59.50000286102295,31.666666269302368
255,57.70000219345093,31.25
256,59.3999981880188,32.91666507720947
257,60.69999933242798,35.00000238418579
258,60.00000238418579,34.58333611488342
259,55.70000410079956,30.416667461395264
260,53.999996185302734,30.833333730697632
261,56.599998474121094,30.000001192092896
262,54.40000295639038,31.25
263,46.60000205039978,30.833333730697632
264,46.8999981880188,27.49999761581421
265,48.500001430511475,27.08333134651184
266,50.90000033378601,27.08333134651184
267,51.30000114440918,28.333336114883423
268,52.99999713897705,31.666666269302368
269,54.6999990940094,30.000001192092896
270,57.099997997283936,28.333336114883423
271,55.19999861717224,29.16666865348816
272,60.50000190734863,32.083332538604736
273,58.70000123977661,33.33333134651184
274,59.50000286102295,35.00000238418579
275,60.80000400543213,31.25
276,59.599995613098145,35.00000238418579
277,57.30000138282776,33.33333134651184
278,59.700000286102295,32.499998807907104
279,59.0999960899353,32.91666507720947
280,60.80000400543213,32.499998807907104
281,59.89999771118164,30.833333730697632
282,59.299999475479126,33.74999761581421
283,58.89999866485596,31.666666269302368
284,61.10000014305115,30.000001192092896
285,58.399999141693115,32.499998807907104
286,60.899996757507324,33.74999761581421
287,60.00000238418579,34.16666388511658
288,61.000001430511475,32.499998807907104
289,62.00000047683716,32.91666507720947
290,57.40000009536743,35.00000238418579
291,52.70000100135803,34.16666388511658
292,53.60000133514404,32.499998807907104
293,48.900002241134644,25.0
294,45.99999785423279,27.916663885116577
295,51.80000066757202,27.916663885116577
296,53.60000133514404,28.333336114883423
297,52.30000019073486,31.25
298,56.49999976158142,26.666665077209473
299,59.00000333786011,29.16666865348816
300,59.0999960899353,30.000001192092896
301,57.099997997283936,31.25
302,61.000001430511475,31.666666269302368
303,59.299999475479126,30.416667461395264
304,61.000001430511475,32.083332538604736
305,59.00000333786011,32.083332538604736
306,58.30000042915344,34.58333611488342
307,61.19999885559082,34.16666388511658
308,59.299999475479126,34.16666388511658
309,62.00000047683716,35.83333492279053
310,60.50000190734863,33.74999761581421
311,61.69999837875366,32.91666507720947
312,61.399996280670166,31.666666269302368
313,61.69999837875366,31.666666269302368
314,61.69999837875366,31.666666269302368
315,61.399996280670166,31.25
316,60.899996757507324,32.91666507720947
317,64.19999599456787,33.74999761581421
318,59.50000286102295,32.499998807907104
319,63.600003719329834,33.33333134651184
320,60.39999723434448,33.33333134651184
321,58.70000123977661,31.25
322,60.899996757507324,31.666666269302368
323,61.500000953674316,32.083332538604736
324,62.09999918937683,33.74999761581421
325,62.90000081062317,35.41666865348816
326,51.99999809265137,25.833332538604736
327,35.9000027179718,27.49999761581421
328,29.199999570846558,25.833332538604736
329,27.20000147819519,25.833332538604736
330,27.100002765655518,25.0
331,30.19999861717224,25.416666269302368
332,29.199999570846558,25.0
333,32.999998331069946,23.333334922790527
334,31.999999284744263,24.583333730697632
335,30.500000715255737,24.583333730697632
336,30.699998140335083,24.583333730697632
337,29.29999828338623,24.583333730697632
338,31.49999976158142,25.416666269302368
339,31.099998950958252,24.583333730697632
340,31.00000023841858,24.583333730697632
341,32.70000219345093,24.166667461395264
342,31.999999284744263,24.166667461395264
343,30.800002813339233,24.166667461395264
344,33.89999866485596,25.416666269302368
345,33.60000252723694,24.583333730697632
346,33.799999952316284,23.333334922790527
347,32.099997997283936,24.166667461395264
348,34.299999475479126,25.0
349,34.3999981880188,24.583333730697632
350,32.40000009536743,25.0
351,36.59999966621399,25.833332538604736
352,34.89999771118164,25.833332538604736
353,35.19999980926514,26.666665077209473
354,32.89999961853027,27.08333134651184
355,34.3999981880188,27.916663885116577
356,34.79999899864197,26.249998807907104
357,34.700000286102295,27.08333134651184
358,36.59999966621399,25.416666269302368
359,35.39999723434448,26.249998807907104
360,34.700000286102295,26.666665077209473
361,36.59999966621399,27.49999761581421
362,35.100001096725464,29.16666865348816
363,35.29999852180481,27.916663885116577
364,36.19999885559082,28.75000238418579
365,34.10000205039978,29.16666865348816
366,38.89999985694885,27.49999761581421
367,36.799997091293335,26.249998807907104
368,36.799997091293335,25.833332538604736
369,37.99999952316284,27.08333134651184
370,39.0999972820282,27.49999761581421
371,36.799997091293335,26.249998807907104
372,35.29999852180481,25.833332538604736
373,35.29999852180481,27.49999761581421
374,36.29999756813049,26.666665077209473
375,36.19999885559082,26.666665077209473
376,35.9000027179718,25.0
377,36.29999756813049,25.0
378,37.40000128746033,25.416666269302368
379,38.40000033378601,24.583333730697632
380,35.79999804496765,23.333334922790527
381,36.500000953674316,25.416666269302368
382,39.399999380111694,24.583333730697632
383,34.60000157356262,25.416666269302368
384,36.900001764297485,26.666665077209473
385,39.30000066757202,24.583333730697632
386,36.000001430511475,25.833332538604736
387,37.40000128746033,27.49999761581421
388,38.499999046325684,28.75000238418579
389,37.00000047683716,27.08333134651184
390,39.20000195503235,26.666665077209473
391,38.70000243186951,27.49999761581421
392,38.70000243186951,28.75000238418579
393,38.099998235702515,27.916663885116577
394,40.6000018119812,28.333336114883423
395,37.300002574920654,28.75000238418579
396,35.600000619888306,29.16666865348816
397,37.40000128746033,28.333336114883423
398,37.99999952316284,29.583334922790527
399,37.699997425079346,27.916663885116577
400,41.00000262260437,28.333336114883423
401,39.0999972820282,29.583334922790527
402,38.599997758865356,29.583334922790527
403,40.10000228881836,30.000001192092896
404,40.299999713897705,30.416667461395264
405,37.5,30.416667461395264
406,37.699997425079346,30.833333730697632
407,37.800002098083496,29.583334922790527
408,36.69999837875366,27.916663885116577
409,39.60000276565552,28.75000238418579
410,40.10000228881836,27.916663885116577
411,38.89999985694885,27.916663885116577
412,40.20000100135803,27.49999761581421
413,38.999998569488525,27.916663885116577
414,38.40000033378601,28.333336114883423
415,39.60000276565552,28.333336114883423
416,37.800002098083496,28.333336114883423
417,38.89999985694885,27.08333134651184
418,42.40000247955322,28.333336114883423
419,38.599997758865356,28.333336114883423
420,37.99999952316284,27.916663885116577
421,41.10000133514404,27.49999761581421
422,39.30000066757202,27.916663885116577
423,39.60000276565552,27.916663885116577
424,40.39999842643738,28.333336114883423
425,39.899998903274536,28.75000238418579
426,41.69999957084656,28.75000238418579
427,40.20000100135803,28.75000238418579
428,38.70000243186951,29.16666865348816
429,39.70000147819519,30.000001192092896
430,39.60000276565552,28.75000238418579
431,40.10000228881836,26.249998807907104
432,39.80000019073486,27.08333134651184
433,40.49999713897705,27.49999761581421
434,41.29999876022339,27.08333134651184
435,39.70000147819519,28.75000238418579
436,41.39999747276306,29.583334922790527
437,39.60000276565552,27.49999761581421
438,41.50000214576721,27.49999761581421
439,42.29999780654907,28.75000238418579
440,40.6000018119812,28.333336114883423
441,42.900002002716064,28.75000238418579
442,41.79999828338623,28.75000238418579
443,41.29999876022339,30.000001192092896
444,42.40000247955322,29.16666865348816
445,40.700000524520874,31.25
446,40.299999713897705,32.083332538604736
447,40.89999794960022,31.666666269302368
448,40.10000228881836,30.833333730697632
449,40.6000018119812,29.583334922790527
450,42.000001668930054,30.416667461395264
451,40.10000228881836,30.833333730697632
452,38.70000243186951,30.833333730697632
453,41.90000295639038,30.416667461395264
454,42.69999861717224,30.000001192092896
455,39.899998903274536,30.416667461395264
456,39.60000276565552,29.16666865348816
457,41.10000133514404,28.333336114883423
458,40.10000228881836,30.000001192092896
459,40.79999923706055,29.16666865348816
460,42.59999990463257,30.000001192092896
461,41.29999876022339,30.000001192092896
462,44.19999718666077,29.583334922790527
463,43.50000023841858,30.000001192092896
464,42.29999780654907,28.75000238418579
465,41.10000133514404,30.000001192092896
466,43.30000281333923,28.75000238418579
467,43.00000071525574,28.333336114883423
468,42.40000247955322,29.16666865348816
469,41.90000295639038,29.583334922790527
470,43.90000104904175,30.000001192092896
471,43.00000071525574,28.75000238418579
472,45.39999961853027,28.75000238418579
473,43.90000104904175,28.75000238418579
474,43.00000071525574,28.75000238418579
475,43.50000023841858,30.000001192092896
476,41.90000295639038,28.75000238418579
477,42.000001668930054,29.583334922790527
478,44.599997997283936,29.583334922790527
479,43.699997663497925,29.16666865348816
480,43.59999895095825,30.000001192092896
481,44.700002670288086,29.583334922790527
482,43.19999814033508,30.000001192092896
483,45.3000009059906,30.833333730697632
484,44.49999928474426,29.583334922790527
485,42.59999990463257,28.333336114883423
486,45.09999752044678,30.416667461395264
487,43.09999942779541,30.000001192092896
488,42.29999780654907,27.49999761581421
489,43.400001525878906,27.08333134651184
490,40.700000524520874,26.666665077209473
491,44.49999928474426,27.08333134651184
492,43.19999814033508,28.75000238418579
493,43.99999976158142,27.916663885116577
494,45.3000009059906,28.333336114883423
495,42.799997329711914,28.75000238418579
496,44.49999928474426,29.16666865348816
497,43.19999814033508,30.000001192092896
498,45.59999704360962,28.75000238418579
499,42.10000038146973,28.333336114883423
500,42.69999861717224,27.916663885116577
501,44.49999928474426,30.000001192092896
502,44.599997997283936,30.000001192092896
503,43.99999976158142,28.333336114883423
504,45.499998331069946,30.416667461395264
505,44.19999718666077,30.416667461395264
506,44.999998807907104,27.916663885116577
507,44.19999718666077,28.333336114883423
508,45.39999961853027,27.08333134651184
509,44.599997997283936,28.333336114883423
510,43.00000071525574,30.000001192092896
511,45.39999961853027,29.16666865348816
512,44.40000057220459,28.333336114883423
513,44.80000138282776,27.916663885116577
514,46.70000076293945,29.583334922790527
515,45.3000009059906,30.416667461395264
516,43.99999976158142,29.16666865348816
517,44.90000009536743,29.16666865348816
518,44.90000009536743,29.16666865348816
519,43.699997663497925,29.583334922790527
520,44.30000185966492,29.16666865348816
521,46.49999737739563,28.75000238418579
522,45.99999785423279,28.333336114883423
523,46.299999952316284,29.583334922790527
524,42.40000247955322,30.416667461395264
525,43.00000071525574,30.000001192092896
526,45.499998331069946,29.16666865348816
527,45.899999141693115,27.916663885116577
528,43.00000071525574,29.16666865348816
529,43.50000023841858,29.583334922790527
530,44.999998807907104,29.583334922790527
531,43.99999976158142,30.833333730697632
532,45.80000042915344,28.333336114883423
533,43.00000071525574,30.833333730697632
534,42.1999990940094,28.75000238418579
535,43.30000281333923,28.333336114883423
536,42.500001192092896,28.333336114883423
537,43.50000023841858,28.75000238418579
538,44.30000185966492,26.666665077209473
539,44.099998474121094,27.49999761581421
540,44.599997997283936,29.16666865348816
541,46.49999737739563,29.583334922790527
542,44.49999928474426,31.25
543,45.09999752044678,32.083332538604736
544,46.299999952316284,30.833333730697632
545,44.30000185966492,29.583334922790527
546,42.29999780654907,30.000001192092896
547,44.80000138282776,28.333336114883423
548,45.899999141693115,30.833333730697632
549,45.70000171661377,30.833333730697632
550,46.70000076293945,29.16666865348816
551,46.799999475479126,28.333336114883423
552,47.00000286102295,29.16666865348816
553,43.800002336502075,28.75000238418579
554,44.700002670288086,30.833333730697632
555,46.8999981880188,28.333336114883423
556,46.39999866485596,30.000001192092896
557,47.200000286102295,31.666666269302368
558,47.29999899864197,30.416667461395264
559,45.80000042915344,27.916663885116577
560,44.80000138282776,27.916663885116577
561,32.200002670288086,29.583334922790527
562,31.90000057220459,27.49999761581421
563,36.000001430511475,29.583334922790527
564,34.3999981880188,25.416666269302368
565,29.799997806549072,26.666665077209473
566,29.199999570846558,25.0
567,26.30000114440918,27.08333134651184
568,26.999998092651367,22.50000238418579
569,27.399998903274536,26.249998807907104
570,28.79999876022339,28.333336114883423
571,29.900002479553223,26.249998807907104
572,28.600001335144043,28.333336114883423
573,31.300002336502075,28.75000238418579
574,31.099998950958252,29.16666865348816
575,31.699997186660767,30.833333730697632
576,30.19999861717224,27.49999761581421
577,31.199997663497925,27.49999761581421
578,31.49999976158142,27.49999761581421
579,33.20000171661377,28.75000238418579
580,33.30000042915344,29.16666865348816
581,34.20000076293945,28.75000238418579
582,35.9000027179718,28.333336114883423
583,33.799999952316284,26.666665077209473
584,35.600000619888306,28.75000238418579
585,33.70000123977661,26.249998807907104
586,33.70000123977661,28.333336114883423
587,33.399999141693115,27.08333134651184
588,34.700000286102295,31.25
589,37.09999918937683,31.25
590,37.199997901916504,27.49999761581421
591,35.50000190734863,28.333336114883423
592,34.20000076293945,28.333336114883423
593,34.79999899864197,26.666665077209473
594,33.20000171661377,28.333336114883423
595,37.300002574920654,25.833332538604736
596,36.500000953674316,27.08333134651184
597,37.199997901916504,28.75000238418579
598,36.400002241134644,28.333336114883423
599,36.900001764297485,27.916663885116577
